country,id,parent_agency_id,name,abbreviation,alternate_name,alternate_abbreviation,english_name,english_abbreviation,url,wikipedia_url,wikidata_id,begin_year,end_year,former_agency_id,remarks
BO,58,57,Instituto de Hidraúlica e Hidrología,IHH,,,,,https://www.umsa.bo/institutos-umsa/-/asset_publisher/1pMoOCPnVT2d/content/instituto-de-hidraulica-e-hidrologia,,,,,,
BO,59,57,Instituto de Investigaciones Geológicas y del Medio Ambiente,IGEMA,,,,,https://igema.umsa.bo/,,,,,,
BT,60,,རྒྱལ་ཡོངས་ཆུ་དཔྱད་དང་གནམ ་གཤིས་རིག་པའི་ལྟེ་བ།,,,,National Center for Hydrology and Meteorology,NCHM,https://www.nchm.gov.bt/,https://en.wikipedia.org/wiki/National_Center_for_Hydrology_and_Meteorology,Q104848634,,,,
CA,62,,British Columbia Hydro and Power Authority,BC Hydro,,,,,https://www.bchydro.com,https://en.wikipedia.org/wiki/BC_Hydro,Q795720,,,,
CA,63,,BC Parks,,,,,,https://bcparks.ca,https://en.wikipedia.org/wiki/BC_Parks,Q2876928,,,,
CA,64,,Columbia Basin Trust,,,,,,https://ourtrust.org,https://en.wikipedia.org/wiki/Columbia_Basin_Trust,Q5149618,,,,
CA,65,,Natural Resources Canada,NRCan,Ressources naturelles Canada,,,,https://natural-resources.canada.ca/,https://en.wikipedia.org/wiki/Natural_Resources_Canada,Q349770,,,,
CA,66,65,Geological Survey of Canada,GSC,Commission géologique du Canada,,,,https://natural-resources.canada.ca/research-centres-and-labs/geological-survey-canada/17100,https://en.wikipedia.org/wiki/Geological_Survey_of_Canada,Q2986634,,,,
CA,67,,University of Northern British Columbia,UNBC,,,,,https://www.unbc.ca/,https://en.wikipedia.org/wiki/University_of_Northern_British_Columbia,Q1165458,,,,
CA,68,,University of Ottawa,uOttawa,,,,,https://www.uottawa.ca,https://en.wikipedia.org/wiki/University_of_Ottawa,Q627969,,,,
CA,69,68,Department of Geography,,,,,,,,,,,,
CA,71,63,Living Lab Program,,,,,,https://bcparks.ca/conservation/living-lab-program/,,,,,,
