id,name,surname,original_name,synonyms,orcid,url,birth_year,death_year,remarks
261,Julián Conejo,Conejo,,,,,,,
262,Emanuele Congiu,Congiu,,,,,,,
263,Luke Copland,Copland,,,0000-0001-5374-2145,,,,
264,Geoffrey Corner,Corner,,,0000-0001-7923-4501,,,,
265,E. Corvalan,Corvalan,,,,,,,
267,Lorenzo Costanzo,Costanzo,,,,,,,
268,F. Covi,Covi,,,,,,,
269,Stefano Covi,Covi,,,,,,,
270,Leif Cox,Cox,,,,,,,
271,Hans Crammer,Crammer,,,,,,,
1468,Claudio Crespi,Crespi,,,,,,,
272,Simeon Crest,Crest,,,,,,,
1599,Matteo Crippa,Crippa,,,,,,,
273,Rolando Cesai Cruz Encarnación,Cruz Encarnación,,,,,,,
274,Ivàn Cuéllar,Cuéllar,,,,,,,
275,Nicolas James Cullen,Cullen,,Nicolas Cullen,0000-0001-8877-1325,,,,
1423,Pierluigi Cullino,Cullino,,,,,,,
276,Stefano D'Adda,D'Adda,,,,,,,
1576,Johanna Dahlkvist,Dahlkvist,,,,,,,
278,Mirlan Daiyrov,Daiyrov,,,0000-0002-1489-5090,,,,
1605,Pietro Dai Zotti,Dai Zotti,,,,,,,
279,Dorino Daldoss,Daldoss,,,,,,,
1618,Mattia Dalpiaz,Dalpiaz,,,,,,,
1588,Franca D'Amico,D'Amico,,,,,,,
1603,Patrizia Da Molin,Da Molin,,,,,,,
1562,Bradley Danielson,Danielson,,,,,,,
277,Pinuccio D'Aquila,D'Aquila,,,0000-0003-1537-3005,,,,
280,Helga Davids,Davids,,,,,,,
281,Luzmila Rosario Dávila Roller,Dávila Roller,,Luzmila Dávila Roller,,,,,
282,Hernán De Angelis,De Angelis,,,0000-0002-8584-272X,,,,
1402,Gianni de Felice,de Felice,,,,,,,
283,Dolores De Felice,De Felice,,,,,,,
290,Renato Deflorin,Deflorin,,,,,,,
291,Giancarlo Degasperi,Degasperi,,,,,,,
292,Pier Paolo Degli Esposti,Degli Esposti,,,,,,,
294,Omar Del Castillo,Del Castillo,,,,,,,
296,Hugo Delgado-Granados,Delgado-Granados,,,,,,,
1428,Marco Dellanoce,Dellanoce,,,,,,,
299,Michael N. Demuth,Demuth,,,,,,,
301,Marianne den Ouden,den Ouden,,,,,,,
303,Florian Denzinger,Denzinger,,,,,,,
284,Eduardo Martínez de Pisón Stampa,de Pisón Stampa,,,,https://es.wikipedia.org/wiki/Eduardo_Mart%C3%ADnez_de_Pis%C3%B3n,,,
1409,Julien Desarzens,Desarzens,,,,,,,
304,Roland Descloux,Descloux,,,,,,,
285,Simon Daniel de Villiers,de Villiers,,Simon de Villiers,,https://www.hvl.no/person/?user=Simon.Daniel.de.Villiers,,,
286,Maurizio De Zaiacomo,De Zaiacomo,,,,,,,
307,Fabián Díaz,Díaz,,,,,,,
1602,Michele Di Biase,Di Biase,,,,,,,
1500,Thomas di Fiore,di Fiore,,,,,,,
310,A. N. Dikikh,Dikikh,,,,,,,
